address;company
Molenvlietweg 18, 1432GW AALSMEER;Basic-Fit
Terborchlaan 299, 1816MH ALKMAAR;Basic-Fit
Oosterweezenstraat 15, 1823CN ALKMAAR;Basic-Fit
Groenplein 2, 7604BG ALMELO;Basic-Fit
Stadionlaan 34, 7606JZ ALMELO;Basic-Fit
Donjon 9, 1315XH ALMERE;Basic-Fit
Trekweg 51, 1338GA ALMERE;Basic-Fit
Sportlaan 2, 2406LD ALPHEN AAN DEN RIJN;Basic-Fit
Groningerstraat 172, 3812EG AMERSFOORT;Basic-Fit
Lageweg 14-16, 3815VG AMERSFOORT;Basic-Fit
Arent Janszoon Ernststr 1, 1083GP AMSTERDAM;Basic-Fit
Amstelstraat 22, 1017DA AMSTERDAM;Basic-Fit
Baarsjesweg 224, 1058AA AMSTERDAM;Basic-Fit
Rijnsburgstraat 9-11, 1059AT AMSTERDAM;Basic-Fit
Distelweg 80, 1031HH AMSTERDAM;Basic-Fit
Europaboulevard 21, 1079PC AMSTERDAM;Basic-Fit
Pieter Calandlaan 1287, 1069RE AMSTERDAM;Basic-Fit
Overtoom 37-43, 1054HB AMSTERDAM;Basic-Fit
President Allendelaan 3, 1064GW AMSTERDAM;Basic-Fit
President Allendelaan 2-4, 1064GW AMSTERDAM;Basic-Fit
Sportpark Kadoelen 4, 1035NB AMSTERDAM;Basic-Fit
Stadhouderskade 74-75, 1072AE AMSTERDAM;Basic-Fit
Koningin Wilhelminaplein 13, 1062HH AMSTERDAM;Basic-Fit
Ambachtsveld 2, 7327AZ APELDOORN;Basic-Fit
Laan van het Omniversum 14, 7324BM APELDOORN;Basic-Fit
Schorpioenstraat 4, 7323AK APELDOORN;Basic-Fit
Groningensingel 1043-1045, 6835GN ARNHEM;Basic-Fit
Walstraat 76, 6811BE ARNHEM;Basic-Fit
Zaagmolen 29, 9401BR ASSEN;Basic-Fit
Wethouder Rebellaan 134, 3771KA BARNEVELD;Basic-Fit
Bastionweg 30, 4614RM BERGEN OP ZOOM;Basic-Fit
Gouvernementsplein 1, 4611PM BERGEN OP ZOOM;Basic-Fit
Chasseveld 15, 4811DH BREDA;Basic-Fit
Ettensebaan 17, A5, 4812XA BREDA;Basic-Fit
Teteringsedijk 297, 4817ME BREDA;Basic-Fit
Haefland 2, 6441PA BRUNSSUM;Basic-Fit
Breestraat 37, 2611RE DELFT;Basic-Fit
Leeuwenstein  8-10, 2627AM DELFT;Basic-Fit
Oude Vlijmenseweg 186, 5223GT DEN BOSCH;Basic-Fit
Pastoor de Kroonstraat 12, 5211SP DEN BOSCH;Basic-Fit
Victorialaan 13, 5213JG DEN BOSCH;Basic-Fit
De Werf 27, 2544EH DEN HAAG;Basic-Fit
Grote Marktstraat 40, 2511BJ DEN HAAG;Basic-Fit
Noordweg 44a, 2548AC DEN HAAG;Basic-Fit
Sylvain Poonsstraat 10, 2548XX DEN HAAG;Basic-Fit
Mr. P. Droogleever Fortuynweg 99, 2533SP DEN HAAG;Basic-Fit
Industrieweg 14b, 1785AG DEN HELDER;Basic-Fit
Boreelplein 8, 7411EH DEVENTER;Basic-Fit
Hannoverstraat 3b, 7418BL DEVENTER;Basic-Fit
Muiderstraatweg 14, 1111PS DIEMEN;Basic-Fit
Willem de Zwijgerlaan 2, 1111ZS DIEMEN;Basic-Fit
Burgemeester van Nispenstraat 18a, 7001BS DOETINCHEM;Basic-Fit
Van Godewijckstraat 17, 3311GX DORDRECHT;Basic-Fit
Omloop 48, 9201CC DRACHTEN;Basic-Fit
Grotestraat 61, 6711AJ EDE;Basic-Fit
Peppelensteeg 1c, 6715CV EDE;Basic-Fit
Aalsterweg 135, 5644RA EINDHOVEN;Basic-Fit
Brussellaan 2H, 5628TC EINDHOVEN;Basic-Fit
Stadionplein (ingang 18) 2, 5616RX EINDHOVEN;Basic-Fit
Vijfkamplaan 6, 5624EB EINDHOVEN;Basic-Fit
Bislet 11, 7825SB EMMEN;Basic-Fit
Wembley  3, 7825SJ EMMEN;Basic-Fit
Colosseum 86, 7521PT ENSCHEDE;Basic-Fit
J J van Deinselaan 10, 7541BR ENSCHEDE;Basic-Fit
Oosterstraat 1, 7514DX ENSCHEDE;Basic-Fit
Vijfhuizenweg 15, 4871EE ETTEN-LEUR;Basic-Fit
Rijksweg Noord 125, 6162AE GELEEN;Basic-Fit
v.d. Spiegelstraat 82-94, 4461LN GOES;Basic-Fit
Pottersplein 3-7, 2801WR GOUDA;Basic-Fit
Antillenstraat 7 E-H, 9714JT GRONINGEN;Basic-Fit
Protonstraat 12D, 9743AL GRONINGEN;Basic-Fit
Van Imhoffstraat 2, 9721CP GRONINGEN;Basic-Fit
Westerhaven 64, 9718AC GRONINGEN;Basic-Fit
Bernadottelaan 199, 2037GP HAARLEM;Basic-Fit
Vondelweg 540, 2026BH HAARLEM;Basic-Fit
Kolbaanweg 3, 3845LJ HARDERWIJK;Basic-Fit
J.J.P. Oudweg 19, 1703DE HEERHUGOWAARD;Basic-Fit
Pater Beatusstraat 3, 6411TR HEERLEN;Basic-Fit
Ten Esschen 100, 6412PR HEERLEN;Basic-Fit
Rakthof 6, 5709EK HELMOND;Basic-Fit
Braakse Bosdijk 3, 5703HZ HELMOND;Basic-Fit
Lansinkesweg 2, 7553AE HENGELO;Basic-Fit
Kerkstraat 63/31, 1211CL HILVERSUM;Basic-Fit
Arnolduspark 16, 2132CR HOOFDDORP;Basic-Fit
J.C. Beetslaan 157, 2131AL HOOFDDORP;Basic-Fit
Pesserstraat 33, 7901LB HOOGEVEEN;Basic-Fit
Duymaer van Twistweg 6, 7909CB HOOGEVEEN;Basic-Fit
Zwaagdijk 467A, 1689PC HOORN;Basic-Fit
Kruisboog 10, 3994AE HOUTEN;Basic-Fit
C. van der Doesstraat 22 1e Etage, 1972AT IJMUIDEN;Basic-Fit
Roda J.C. Ring 95, 6466NH KERKRADE;Basic-Fit
Spekhofstraat  24a, 6466LZ KERKRADE;Basic-Fit
Wim Kan Dreef 5, 1433HM KUDELSTAART;Basic-Fit
De Centrale 29, 8924CZ LEEUWARDEN;Basic-Fit
De Promesse 60, 8232VX LELYSTAD;Basic-Fit
Maerlant 2, 8224AC LELYSTAD;Basic-Fit
Bosscherweg 161, 6219AA MAASTRICHT;Basic-Fit
Blankenstein 275, 7943PG MEPPEL;Basic-Fit
Podium 9, 4337WV MIDDELBURG;Basic-Fit
Lucas Bolsstraat 42, 2152CZ NIEUW-VENNEP;Basic-Fit
Kerkenbos 1115, 6546BC NIJMEGEN;Basic-Fit
Vlaamsegas 2, 6511HR NIJMEGEN;Basic-Fit
Weg door Jonkerbos 26, 6532SZ NIJMEGEN;Basic-Fit
Piet Heinweg 14, 7441GZ NIJVERDAL;Basic-Fit
Duivendijk 1, 5672AD NUENEN;Basic-Fit
Beneluxweg 5, 4904SJ OOSTERHOUT;Basic-Fit
Euterpelaan 19, 5344CA OSS;Basic-Fit
Corellistraat 6, 5344AG OSS;Basic-Fit
Lange Tiendweg 4, 3353CW PAPENDRECHT;Basic-Fit
Grotenhuysweg 100, 1446HZ PURMEREND;Basic-Fit
Gieterijstraat 30, 2984AB RIDDERKERK;Basic-Fit
Bogaardplein 3, 2284DP RIJSWIJK;Basic-Fit
De Stok 12, 4703SZ ROOSENDAAL;Basic-Fit
’t Zand 3, 4707VX ROOSENDAAL;Basic-Fit
Groote Vlietlaan 15, 5254PA ROSMALEN;Basic-Fit
1e Jerichostraat 18-20, 3061GE ROTTERDAM;Basic-Fit
Middenbaan Noord 44-46, 3191EH ROTTERDAM;Basic-Fit
Dwarsdijk 78, 3078JD ROTTERDAM;Basic-Fit
Lijnbaan 45, 3012EK ROTTERDAM;Basic-Fit
Metaalhof 57, 3067GM ROTTERDAM;Basic-Fit
Rijksboom 4, 3071AX ROTTERDAM;Basic-Fit
Westzeedijk 387, 3024EK ROTTERDAM;Basic-Fit
Metaalhof 57, 3067GM ROTTERDAM;Basic-Fit
Gevers Deynootweg 93, 2586BK SCHEVENINGEN;Basic-Fit
De Brauwweg 46, 3125AE SCHIEDAM;Basic-Fit
Prinses Beatrixlaan 4, 3121JN SCHIEDAM;Basic-Fit
Bremhorst 4, 5491LR SINT OEDENRODE;Basic-Fit
Limbrichterweg 78, 6135GJ SITTARD;Basic-Fit
Alexanderstraat 3, 8606VP SNEEK;Basic-Fit
Nieuwegracht 4-02, 3763LB SOEST;Basic-Fit
A.M. de Jongstraat 6, 3202AD SPIJKENISSE;Basic-Fit
Artemisstraat 6, 5042XA TILBURG;Basic-Fit
Heuvelpoort 380, 5038DX TILBURG;Basic-Fit
Ringbaan-Noord 97, 5046AA TILBURG;Basic-Fit
Wagnerplein 3, 5011LP TILBURG;Basic-Fit
Industrielaan 14, 5405AB UDEN;Basic-Fit
Europaplein 705, 3526WP UTRECHT;Basic-Fit
Herculesplein 375-77, 3584AA UTRECHT;Basic-Fit
Franciscusdreef 80, 3565AD UTRECHT;Basic-Fit
Zonnebaan 22, 3542EE UTRECHT;Basic-Fit
Nijmeegseweg  8, 5616PT VENLO;Basic-Fit
Van Pontstraat  20a, 5913VK VENLO;Basic-Fit
Hoogstraat 219, 3131BB VLAARDINGEN;Basic-Fit
Baskensburgplein 2, 4383NE VLISSINGEN;Basic-Fit
Mgr. van Steelaan 418, 2273GC VOORBURG;Basic-Fit
Eerste Zeine 120a, 5144AM WAALWIJK;Basic-Fit
Stadsbrink 32-42, 6701AL WAGENINGEN;Basic-Fit
Botnische Golf 7, 3446CN WOERDEN;Basic-Fit
Martin Luther Kingweg 205-207, 1504DG ZAANDAM;Basic-Fit
Voorheuvel 9-11, 3701JA ZEIST;Basic-Fit
Burgemeester van Leeuwenpassage 18, 2711JV ZOETERMEER;Basic-Fit
Ter Steeghe Ring 47, 3331LX ZWIJNDRECHT;Basic-Fit
Middelweg 401, 8031VX ZWOLLE;Basic-Fit
Vondelstraat 39, Alkmaar;Fit For Free
George Breitnerstraat 12, Almelo;Fit For Free
Schipperplein 2, Almere;Fit For Free
Randstad 22-101, Almere;Fit For Free
Baronie 8, Alphen aan den Rijn;Fit For Free
Amsterdamseweg 35, Amersfoort;Fit For Free
Maalderij 30, Amstelveen;Fit For Free
Hoogoordplein 7, Amsterdam;Fit For Free
Buikslotermeerplein 119, Amsterdam;Fit For Free
Haarlemmer Houttuinen 37-43, Amsterdam;Fit For Free
Lijnbaansgracht 350, Amsterdam;Fit For Free
Linnaeushof 4, Amsterdam;Fit For Free
Looiersgracht 26, Amsterdam;Fit For Free
Osdorpplein 135, Amsterdam;Fit For Free
Europaboulevard 3, Amsterdam;Fit For Free
Valkenburgerstraat 28, Amsterdam;Fit For Free
De Voorwaarts 49, Apeldoorn;Fit For Free
Vlijtseweg 76, Apeldoorn;Fit For Free
Tivolilaan 205, Arnhem;Fit For Free
Zwartwatersweg 133, Assen;Fit For Free
Pesetastraat 52-56, Barendrecht;Fit For Free
De Boulevard Noord 2, Bergen op Zoom;Fit For Free
Franse Akker 23, Breda;Fit For Free
Molenbaan 18 - 20, Capelle aan den IJssel;Fit For Free
Brederostraat 1, Den Bosch;Fit For Free
Jaap Edenweg 26, Den Haag;Fit For Free
Haags Kwartier 15, Den Haag;Fit For Free
Waldorpstraat 11d, Den Haag;Fit For Free
Tjalie Robinsonduin 76, Den Haag;Fit For Free
Oude Middenweg 187, Den Haag;Fit For Free
Loosduinseweg 627, Den Haag;Fit For Free
Het Kleine Loo 414, Den Haag;Fit For Free
Brinkgreverweg 1, Deventer;Fit For Free
Vissersdijk Beneden 30, Dordrecht;Fit For Free
Mecklenburgstraat 1-1a, Eindhoven;Fit For Free
Dordsestraat 19-25, Emmen;Fit For Free
Boulevard 1945 372a, Enschede;Fit For Free
Schuttersveld 11, Enschede;Fit For Free
Rijksweg Zuid 87-89, Geleen;Fit For Free
Atoomweg 6-8, Groningen;Fit For Free
Melisseweg 81, Groningen;Fit For Free
Californiëplein 18, Haarlem;Fit For Free
Paul Krugerkade 22, Haarlem;Fit For Free
Westergracht 72, Haarlem;Fit For Free
Jousterweg 38, Heerenveen;Fit For Free
Parallelweg 30, Heerlen;Fit For Free
Europaweg 150, Helmond;Fit For Free
Het Plein 180, Hengelo;Fit For Free
Zeverijnstraat 6A, Hilversum;Fit For Free
Doctor C.J.K. van Aalstweg 6B, Hoorn;Fit For Free
Zambonistraat 4g, Kampen;Fit For Free
Cambuurplein 52A, Leeuwarden;Fit For Free
Willem de Zwijgerlaan 2C, Leiden;Fit For Free
Lammenschansweg 130G, Leiden;Fit For Free
Vlasbaan 19, Leiderdorp;Fit For Free
De Meent 18, Lelystad;Fit For Free
Franciscus Romanusweg 60, Maastricht;Fit For Free
Buitenruststraat 20, Middelburg;Fit For Free
Blokhoeve 2b, Nieuwegein;Fit For Free
Akkerlaan 46, Nijmegen;Fit For Free
Kruisweg 1, Ridderkerk;Fit For Free
Schaarbroekerweg 18, Roermond;Fit For Free
Vijfhuizenberg 36, Roosendaal;Fit For Free
Abraham van Stolkweg 50, Rotterdam;Fit For Free
Ceintuurbaan 181-183, Rotterdam;Fit For Free
Conradstraat 40, Rotterdam;Fit For Free
Cor Kieboomplein 507, Rotterdam;Fit For Free
Wijde Kerkstraat 5, Rotterdam;Fit For Free
Ommoordseweg 34, Rotterdam;Fit For Free
Zomerhofstraat 52, Rotterdam;Fit For Free
Zuidplein Hoog 605a, Rotterdam;Fit For Free
Jan van Galenstraat 11, Schiedam;Fit For Free
Rijksweg Zuid 206, Sittard;Fit For Free
Burg. Brokxlaan 1706, Tilburg;Fit For Free
Von Suppéstraat 13, Tilburg;Fit For Free
Grebbeberglaan 9A, Utrecht;Fit For Free
Dirck Hoetweg 5, Utrecht;Fit For Free
Westerdijk 2a, Utrecht;Fit For Free
Schooneggendreef 27L, Utrecht;Fit For Free
Gilbert van Schoonbekestraat 1-3, Veenendaal;Fit For Free
Noorderpoort 99, Venlo;Fit For Free
’s-Gravenzandseweg 33, Wateringen;Fit For Free
Westzijde 163, Zaandam;Fit For Free
Huis ter Heideweg 52-54, Zeist;Fit For Free
Bossenwaard 9-11, Zoetermeer;Fit For Free
Scheglaan 12, Zoetermeer;Fit For Free
H.A. Lorentzstraat 9, Zwijndrecht;Fit For Free
Ceintuurbaan 34A, Zwolle;Fit For Free
